appid,type,genre,metacritic,recommendations
2584810,game,Action,,
2584830,demo,,,
2584840,demo,,,
2584850,game,Action,,
2584880,game,Adventure,,
2584900,,,,
2584910,,,,
2584920,,,,
2584930,,,,
2584950,dlc,Action,,
2583930,game,Casual,,
2583950,game,Adventure,,
2583960,game,Adventure,,
2583970,game,Casual,,
2583990,,,,
2584020,demo,,,
2584030,demo,,,
2584050,game,Action,,
2584070,dlc,Simulation,,
2584080,dlc,Simulation,,
2584090,dlc,Simulation,,
2584100,dlc,Simulation,,
2584110,dlc,Simulation,,
2584130,dlc,Simulation,,
2584140,dlc,Simulation,,
2584160,game,Action,,
2584170,dlc,Adventure,,
2584190,game,Adventure,,
2584200,,,,
2584220,dlc,Indie,,
2584240,,,,
2584250,game,Action,,
2584280,game,Adventure,,
2584300,,,,
2584310,game,Action,,
2584340,game,Casual,,
2584370,game,Action,,
2584380,game,RPG,,
2584390,game,Action,,
2584400,game,Indie,,
2584410,demo,,,
2584420,game,Casual,,
2584450,game,Action,,
2583430,game,Adventure,,
2583440,music,,,
2583450,,,,
2583460,game,Casual,,
2583470,,,,
2583480,dlc,Action,,
2583490,dlc,Action,,
2583500,game,Indie,,
2583520,dlc,Action,,
2583530,game,Indie,,
2583540,game,Casual,,
2583550,game,Action,,
2583570,game,Casual,,
2583590,game,Casual,,
2583600,demo,,,
2583620,game,RPG,,
2583630,game,Adventure,,
2583640,game,Action,,
2583660,game,Indie,,
2583680,game,Casual,,
2583690,game,Casual,,
2583710,game,Utilities,,
2583730,game,Casual,,
2583760,game,Adventure,,
2583770,dlc,Adventure,,
2583810,music,,,
2583830,game,Casual,,
2583840,demo,,,
2583850,dlc,Action,,
2583870,,,,
2583880,game,Adventure,,
2583890,game,Action,,
2583910,dlc,Strategy,,
2583920,game,Indie,,
2582920,dlc,Indie,,
2582960,game,Action,,
2582990,game,Action,,
2583000,game,Adventure,,
2583010,music,,,
2583030,game,Adventure,,
2583040,demo,,,
2583110,dlc,Casual,,
2583150,dlc,Casual,,
2583200,dlc,Casual,,
2583280,game,Action,,
2583290,game,Action,,
2583300,game,Indie,137,
2583310,demo,,,
2583320,game,Action,,
2583340,game,Casual,,
2583370,game,Indie,,
2583380,game,Action,,
2583390,demo,,,
2583400,music,,,
2583420,demo,,,
2582450,game,Action,,
2582460,game,Indie,,
2582480,game,Action,,
2582500,game,Indie,,
2582530,game,Strategy,,
2582540,game,Casual,,
2582550,game,,,
2582580,dlc,Casual,,
2582620,game,Racing,,
2582650,game,RPG,,
2582660,game,RPG,191,
2582710,game,Action,,
2582730,game,Indie,,
2582740,game,Adventure,,
2582780,game,Action,,
2582800,,,,
2582810,game,Casual,,
2582820,dlc,Action,,
2582830,dlc,Action,,
2582840,dlc,Action,,
2582860,demo,,,
2582880,game,Casual,,
2582890,game,Action,,
2582900,game,Adventure,,
2581940,,,,
2581950,game,Casual,,
2581960,game,Indie,,
2581970,game,Action,,
2581980,game,Adventure,,
2581990,dlc,Action,,
2582000,dlc,Action,,
2582010,dlc,Action,,
2582020,dlc,Action,,
2582030,dlc,Action,,
2582040,dlc,Action,,
2582050,demo,,,
2582090,music,,,
2582100,game,Indie,,
2582110,demo,,,
2582120,dlc,Action,,
2582130,game,Indie,,
2582160,dlc,Adventure,,
2582180,game,Indie,,
2582190,demo,,,
2582220,game,Adventure,,
2582230,demo,,,
2582240,game,Indie,,
2582250,game,Casual,,
2582260,game,Action,,
2582280,music,,,
2582300,game,Action,,
2582310,game,Simulation,,
2582340,game,RPG,,
2582350,game,Adventure,,
2582360,dlc,Casual,148,
2582380,game,Casual,,
2582390,game,Indie,,
2582400,game,Adventure,,
2582410,game,Casual,,
2581420,demo,,,
2581430,game,Action,,
2581440,,,,
2581450,game,Casual,,
2581460,dlc,Casual,,
2581470,,,,
2581480,dlc,Casual,,
2581500,game,,,
2581510,game,Indie,,
2581530,game,Adventure,,
2581560,game,Adventure,,
2581570,game,Adventure,165,
2581590,game,Action,,
2581600,game,Indie,,
2581610,game,Casual,,
2581620,game,Casual,,
2581630,game,Strategy,,
2581680,game,Adventure,,
2581690,game,Adventure,,
2581710,music,,,
2581720,music,,,
2581740,dlc,Action,158,
2581750,game,Action,,
2581780,,,,
2581810,game,Casual,,
2581820,demo,,,
2580920,dlc,Simulation,,
2580930,dlc,Simulation,,
2580940,dlc,Simulation,,
2580950,dlc,Simulation,,
2580960,dlc,Simulation,,
2580970,dlc,Simulation,,
2580980,,,,
2581000,,,,
2581010,,,,
2581020,game,Action,,
2581030,game,Adventure,,
2581040,game,Adventure,,
2581050,game,Action,,
2581060,demo,,,
2581070,demo,,,
2581080,game,Casual,,
2581110,game,Action,,
2581120,game,Action,,
2581130,,,,
2581160,game,Adventure,,
2581180,game,Action,,
2581190,demo,,,
2581200,game,Adventure,,
2581210,game,Adventure,,
2581240,game,Indie,,
2581250,,,,
2581260,game,Action,,
2581280,game,,,
2581290,game,Adventure,,
2581310,game,Action,,
2581320,demo,,,
2581330,music,,,
2581340,dlc,Adventure,,
2581350,game,Adventure,,
2581360,game,Adventure,,
2581380,game,Adventure,,
2581410,game,Action,,
2580470,dlc,Adventure,,
2580490,dlc,Simulation,,
2580500,dlc,Simulation,,
2580510,dlc,Simulation,,
2580520,dlc,Simulation,,
2580530,dlc,Simulation,,
2580540,dlc,Simulation,,
2580550,dlc,Simulation,,
2580560,dlc,Simulation,,
2580570,dlc,Simulation,,
2580580,dlc,Simulation,,
2580590,dlc,Simulation,,
2580600,dlc,Simulation,,
2580610,dlc,Simulation,,
2580620,dlc,Simulation,,
2580630,dlc,Simulation,,
2580640,dlc,Simulation,,
2580650,dlc,Simulation,,
2580660,dlc,Simulation,,
2580670,dlc,Simulation,,
2580680,dlc,Simulation,,
2580690,dlc,Simulation,,
2580700,dlc,Simulation,,
2580710,dlc,Simulation,,
2580720,dlc,Simulation,,
2580730,dlc,Simulation,,
2580740,dlc,Simulation,,
2580750,dlc,Simulation,,
2580760,dlc,Simulation,,
2580770,dlc,Simulation,,
